image_id,file_name,prediction,reference_1
454762,COCO_val2014_000000454762.jpg,a man is on a <unk>,A truck filled with a pile of yellow bananas.
137658,COCO_val2014_000000137658.jpg,a man is on a <unk>,A hand holding open a pouch with a cell phone inside.
22176,COCO_val2014_000000022176.jpg,a man is on a <unk>,there is a white van that is stopped on the road
564280,COCO_val2014_000000564280.jpg,a man is on a <unk>,A large dog sitting on top of a picture frame.
116083,COCO_val2014_000000116083.jpg,a man is on a <unk>,"Adults walking along with kids, all carrying bags"
507945,COCO_val2014_000000507945.jpg,a man is on a <unk>,a lady that is holding a camera in her hand
517318,COCO_val2014_000000517318.jpg,a man is on a <unk>,A woman is feeding a giraffe in a sandy plain. 
463534,COCO_val2014_000000463534.jpg,a man is on a <unk>,A man laying on a bed next to a small black and white dog.
335774,COCO_val2014_000000335774.jpg,a man is on a <unk>,A dinner plate has a lot of different food on it. 
370401,COCO_val2014_000000370401.jpg,a man is on a <unk>,A woman in red sitting on a park bench.
558558,COCO_val2014_000000558558.jpg,a man is on a <unk>,A city traffic signal and street at night.
384850,COCO_val2014_000000384850.jpg,a man is on a <unk>,A bathroom with a shower curtain that has four palm trees on it and a white tile floor.
211203,COCO_val2014_000000211203.jpg,a man is on a <unk>,Sandwich next to cooked bacon on plate with hot beverage.
472610,COCO_val2014_000000472610.jpg,a man is on a <unk>,A woman is posing for a picture with her dog in front of cows.
352127,COCO_val2014_000000352127.jpg,a man is on a <unk>,A group of chefs preparing food inside of a kitchen.
33554,COCO_val2014_000000033554.jpg,a man is on a <unk>,Tourists will find blue signs like this in Great Britain.  
65628,COCO_val2014_000000065628.jpg,a man is on a <unk>,A small giraffe laying in the sand by a fence
283772,COCO_val2014_000000283772.jpg,a man is on a <unk>,two guys outside playing tennis on a tennis court
